slug,name,re,cl_0,cl_alpha_2d,cl_max,alpha_stall,cd_0,cm_ac,cd_min,alpha_minD_deg,k_drag,thickness_pct,camber_pct
joukowsk-il,12% JOUKOWSKI AIRFOIL,500000,0.0005,6.396,1.2779,14.50,0.00733,0.0000,0.007330,-0.2500,0.000104,11.80,0.00
joukowsk0009-jf,Joukovsky f=0% t=9%,500000,-0.0003,6.323,1.1283,11.75,0.00608,0.0000,0.006080,0.0000,0.000200,9.00,0.00
joukowsk0015-jf,Joukovsky f=0% t=15%,500000,-0.0015,6.477,1.3040,14.75,0.00836,0.0000,0.008360,-0.5000,0.000072,14.99,0.00
joukowsk0018-jf,Joukovsky f=0% t=18%,500000,-0.0011,6.559,1.2925,15.50,0.00925,0.0000,0.009230,-0.2500,0.000065,17.98,0.00
joukowsk0021-jf,Joukovsky f=0% t=21%,500000,-0.0011,6.574,1.2700,18.50,0.01008,0.0000,0.010080,0.0000,0.000066,21.00,0.00
k1-il,NYU/GRUMMAN K-1 AIRFOIL,500000,0.2955,6.038,1.4085,13.25,0.00744,-0.0872,0.007260,1.5000,0.000246,11.59,1.96
k2-il,GRUMMAN K-2 AIRFOIL,500000,0.0052,7.140,1.0451,9.75,0.00977,-0.0499,0.008300,-1.7500,0.000235,10.27,2.45
k3-il,GRUMMAN K-3 AIRFOIL,500000,0.5302,5.434,1.5242,14.50,0.00933,-0.1506,0.009200,0.7500,0.000242,17.31,1.70
k3311-il,K3311  (original),500000,0.3827,5.973,1.2944,14.75,0.00701,-0.0737,0.006660,0.7500,0.000192,11.00,3.25
k3311sm-il,K3311 (smoothed),500000,0.3858,6.045,1.3092,13.25,0.00646,-0.0730,0.006460,0.0000,0.000141,11.03,3.23
kc135a-il,KC-135 BL52.44 AIRFOIL,500000,0.1492,6.342,1.2029,15.00,0.00861,-0.0163,0.008470,4.5000,0.000114,15.49,1.58
kc135b-il,KC-135 BL124.32 AIRFOIL,500000,0.1682,6.149,1.1704,15.00,0.00768,-0.0195,0.007360,3.0000,0.000224,12.98,1.57
kc135c-il,KC-135 BL200.76 AIRFOIL,500000,0.1908,5.953,1.1296,12.25,0.00665,-0.0238,0.006480,1.0000,0.000234,10.59,1.66
kc135d-il,KC-135 BL351.6 AIRFOIL,500000,0.2584,5.676,1.1190,10.25,0.00655,-0.0387,0.005900,0.5000,0.000320,8.99,2.00
kc135winglet-il,KC-135 Winglet (supercritical Whitcomb),500000,0.5398,5.944,1.6428,12.50,0.00680,-0.1262,0.006650,-1.0000,0.000159,7.96,2.41
kenmar-il,KENNEDY AND MARSDEN AIRFOIL,500000,0.6854,1.893,1.0015,4.25,0.03123,-0.1697,0.027080,-3.0000,0.000858,27.92,7.70
l1003-il,LIEBECK L1003 AIRFOIL,500000,0.3654,6.356,1.4913,10.25,0.03327,-0.0401,0.019720,7.5000,0.000312,17.69,6.53
l188root-il,LOCKHEED L-188 ROOT AIRFOIL,500000,0.2611,5.932,1.4145,17.00,0.00753,-0.0617,0.007470,-1.0000,0.000107,13.99,2.00
l188tip-il,LOCKHEED L-188 TIP AIRFOIL,500000,0.3540,5.799,1.4306,16.00,0.00709,-0.0828,0.006550,1.7500,0.000214,11.99,2.66
l7769-il,LISSAMAN 7769 AIRFOIL,500000,0.2680,6.498,1.4811,11.75,0.01155,-0.0268,0.009520,2.5000,0.000117,10.98,4.43
la203a-il,DOUGLAS LA203A AIRFOIL,500000,0.7685,6.587,1.7266,10.00,0.01111,-0.1736,0.009670,0.5000,0.000144,15.73,5.48
la2573a-il,LA2573A,500000,0.1076,7.073,1.3363,11.75,0.01319,0.0164,0.009870,1.5000,0.000071,13.70,3.19
la5055-il,LIEBECK LA5055 AIRFOIL,500000,0.4506,6.497,1.4986,9.50,0.01724,-0.0697,0.012110,7.0000,0.000185,15.93,5.93
lds2-il,LDS-2 AIRFOIL,500000,0.2633,6.088,1.3616,16.75,0.00672,-0.0445,0.006600,0.5000,0.000143,11.97,2.16
lg10sc-il,LOCKHEED-GEORGIA SUPERCRITICAL AIRFOIL,500000,0.1268,6.437,1.3842,13.75,0.00620,-0.0036,0.005720,-1.0000,0.000093,10.00,1.47
lnv109a-il,LNV109A,500000,0.3972,6.553,1.8441,13.50,0.01757,-0.0524,0.013390,4.5000,0.000330,12.99,5.97
lrn1007-il,lrn1007,500000,0.4678,5.863,0.9007,4.50,0.01461,-0.0997,0.006380,3.0000,0.000793,7.27,5.90
lrn1015-il,NASA LRN 1015 (NASA TM 102840),500000,0.5410,5.775,1.5221,19.00,0.01045,-0.0954,0.009090,5.2500,0.000159,15.19,4.89
ls013-il,NASA/LANGLEY LS(1)-0013 AIRFOIL,500000,-0.0023,6.462,1.2801,15.00,0.00816,0.0000,0.007880,-2.7500,0.000083,12.86,0.00
ls413-il,NASA/LANGLEY LS(1)-0413 (GA(W)-2) AIRFOIL,500000,0.4937,5.968,1.6014,16.00,0.00833,-0.1134,0.007660,-3.2500,0.000092,12.93,2.14
ls413mod-il,NASA/LANGLEY LS(1)-0413MOD AIRFOIL,500000,0.4834,6.243,1.6408,14.75,0.00806,-0.0978,0.007190,-3.0000,0.000085,13.02,1.99
ls417-il,NASA/LANGLEY LS(1)-0417 (GA(W)-1) AIRFOIL,500000,0.5037,5.875,1.6269,17.75,0.01023,-0.1139,0.008950,-4.0000,0.000090,16.98,2.17
ls417mod-il,NASA/LANGLEY LS(1)-0417MOD AIRFOIL,500000,0.4293,6.468,1.7748,15.75,0.01147,-0.0847,0.008050,-3.7500,0.000063,17.00,2.33
ls421-il,NASA/LANGLEY LS(1)-0421 AIRFOIL,500000,0.4885,5.907,1.5838,18.25,0.01169,-0.1086,0.010280,-4.0000,0.000096,20.89,2.14
ls421mod-il,NASA/LANGLEY LS(1)-0421MOD AIRFOIL,500000,0.5041,6.560,1.6077,17.00,0.01115,-0.0894,0.009390,-4.0000,0.000082,20.96,2.08
lwk79100-il,LWK 79-100,500000,-0.0001,6.342,1.1399,12.00,0.00725,0.0000,0.007140,-2.5000,0.000098,9.99,0.00
