slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
ah81131-il,AH 81-131,13.05,2.82,no,0.00,0.999
ah81k144wfklappe-il,AH 81-K-144 W-F KLAPPE,22.02,1.07,YES,1.65,0.629
ah81k144-il,AH 81-K-144/17,14.46,4.24,YES,0.53,0.897
ah82150a-il,AH 82-150 A,15.00,3.28,YES,1.12,0.854
ah82150f-il,AH 82-150 F,15.00,3.64,YES,0.63,0.916
ah83150q-il,AH 83-150 Q,15.00,4.13,YES,0.87,0.897
ah83159-il,AH 83-159,15.94,3.84,YES,1.08,0.897
ah85l120-il,AH 85-L-120/17,12.11,0.00,YES,0.39,0.897
ah88k130-il,AH 88-K-130/20,13.00,3.94,YES,0.94,0.897
ah88k136-il,AH 88-K-136/16,13.54,3.09,no,0.10,0.961
ah93156-il,AH 93-156,15.66,3.74,YES,0.64,0.928
ah93157-il,AH 93-157,15.68,3.72,YES,0.64,0.928
ah93k130-il,AH 93-K-130/15,13.05,3.58,no,0.02,0.992
ah93k131-il,AH 93-K-131/15,13.10,3.61,no,0.02,0.992
ah93k132-il,AH 93-K-132/15,13.23,3.52,no,0.14,0.981
ah93w145-il,AH 93-W-145,14.48,3.88,YES,0.51,0.897
ah93w174-il,AH 93-W-174,17.43,3.93,YES,0.89,0.876
ah93w215-il,AH 93-W-215,21.22,3.05,YES,0.56,0.897
ah93w257-il,AH 93-W-257,25.67,1.79,YES,3.38,0.804
ah93w300-il,AH 93-W-300,29.98,1.14,YES,1.59,0.830
ah93w480b-il,AH 93-W-480B,47.84,3.36,no,0.05,1.000
ah94145-il,AH 94-145,14.57,5.50,YES,0.74,0.888
ah94156-il,AH 94-156,15.60,3.69,YES,0.75,0.908
ah94w301-il,AH 94-W-301,30.10,1.38,YES,2.02,0.830
ah95160-il,AH 95-160,16.00,5.50,YES,0.63,0.867
ah6407-il,AH-6-40-7 AIRFOIL,6.85,5.53,YES,3.40,0.500
ah7476-il,AH-7-47-6 AIRFOIL,5.90,6.20,YES,4.40,0.600
ah21-7-il,AH21 7% version (Andrew Hollom),8.98,2.26,YES,0.35,0.919
ah21-9-il,AH21 9% version (Andrew Hollom),7.00,1.76,no,0.27,0.919
s3024-il,AIRFOIL 3024    9.84%,9.85,3.52,no,0.27,0.666
