Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-90.0,78.0,31.873496298923182,-118.62632652826356,186.1538577699896,111.53835292192196,-63.49168293203216,-38.23129155543781
-90.0,79.0,29.329654849816954,-117.12897292112548,161.8851681209352,98.21968468463616,-55.091336688651815,-34.158500622213786
-90.0,80.0,26.87720896654888,-115.64024489392942,138.02609348842705,85.22999059491117,-47.20277636488225,-30.08784087965229
-90.0,81.0,24.525960104511675,-114.20010664325396,114.78684580756207,72.69761957196711,-39.93107413624672,-26.044584189884343
-90.0,82.0,22.283246681788185,-112.84103201804082,92.38756944282127,60.74761345308575,-33.37956070332738,-22.080443984381887
-90.0,83.0,20.154650819210183,-111.583533120504,71.04312977966558,49.50112350409663,-27.643556944983523,-18.279231036176032
-90.0,84.0,18.14476785624838,-110.43528066129574,50.94693172086119,39.06792335454799,-22.801701364076045,-14.743950122143724
-90.0,85.0,16.257963103505126,-109.3925499832442,32.25417629175283,29.535220112326463,-18.90579354519563,-11.57297347069921
-90.0,86.0,14.498974228549384,-108.44238812940677,15.0669277326286,20.95766827927257,-15.971746283066402,-8.837494009921617
-90.0,87.0,12.873070387762986,-107.5662133701596,-0.5686267837097887,13.354558104053812,-13.979069179548723,-6.573786133715931
-90.0,88.0,11.3857771340808,-106.74387356201773,-14.653893663212711,6.713721494006647,-12.8779666177208,-4.788487781501143
-90.0,89.0,10.042377614599282,-105.956392232683,-27.227557800537284,0.9973863114064296,-12.59758015616874,-3.4653899777081456
-90.0,90.0,8.847212518412753,-105.18745305197396,-38.35446639746142,-3.850925106097663,-13.054544543507037,-2.572367665086915
-89.0,0.0,113.70027307349994,-0.2145732157852933,852.7485474327752,-0.5016008496740763,-244.1750554627457,0.7013581693857631
-89.0,1.0,113.94565952165952,-0.562684583416825,853.8023202492645,11.401221649345397,-244.86664683782345,-0.3085959039419705
-89.0,2.0,114.11250999541689,-0.9408839042910132,854.8794486467153,23.85347746547296,-245.63892932617085,-1.3980918184097355
-89.0,3.0,114.22352483206268,-1.3332649408940398,856.0137600620175,36.728675205479085,-246.51025058332164,-2.5148983547550827
