Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-90.0,-43.0,99.66651273540458,84.38605211329124,799.1343352425706,-325.45849698201965,-282.3842302562485,60.391051890176485
-90.0,-42.0,101.61863330414604,81.5721510504634,808.0250622382888,-324.52828368571903,-283.8861505311913,58.271185521577166
-90.0,-41.0,103.5775794904912,78.74081494968601,816.4744349267427,-323.10850926458073,-285.1016138948775,56.24032318273933
-90.0,-40.0,105.46900590857904,75.91412316483971,824.2787376072772,-321.11933334715513,-285.9883730691258,54.30223885271587
-90.0,-39.0,107.22371184124648,73.10920962854556,831.2654564352965,-318.4632447287232,-286.50838166607343,52.45518493393355
-90.0,-38.0,108.78591538538328,70.33697548297225,837.3126326306873,-315.0567634155933,-286.6330827385563,50.693348479663456
-90.0,-37.0,110.12080939463873,67.60669785213686,842.3573675054623,-310.8631470729787,-286.34827504046126,49.0068977069278
-90.0,-36.0,111.22134384284766,64.92992921284724,846.401623189277,-305.91702024658554,-285.6586747873277,47.38072972451871
-90.0,-35.0,112.10561931663013,62.31979092989959,849.5059411464579,-300.32539743378453,-284.58827586386434,45.79555922704879
-90.0,-34.0,112.8035168118192,59.78363850059718,851.7697667909706,-294.2431054747962,-283.17598940722684,44.23161065817804
-90.0,-33.0,113.3425183140416,57.31051512099765,853.312195245033,-287.8386014595295,-281.4711331236445,42.67047506370443
-90.0,-32.0,113.74015301401334,54.86648447558699,854.2578144205347,-281.26404669149804,-279.5297783592705,41.0964594211998
-90.0,-31.0,114.00735716277885,52.40781496656382,854.729028528394,-274.63896153412713,-277.4120153989537,39.49944245900913
-90.0,-30.0,114.15483085761596,49.897361440719145,854.8414508866118,-268.0387054227974,-275.1798810599858,37.87746135748571
-90.0,-29.0,114.19946798831172,47.31852004351501,854.7010640530716,-261.48409172520985,-272.8958301359681,36.23889949089797
-90.0,-28.0,114.16787407914356,44.68152994837843,854.4026448941813,-254.94179816496316,-270.6211426583381,34.601957654801204
-90.0,-27.0,114.0921902713156,42.01498100821546,854.0287662153809,-248.35172420318304,-268.41329876276063,32.987065110315136
-90.0,-26.0,114.00296883022148,39.35479355112005,853.6500593312838,-241.6593970151092,-266.32330321651625,31.40835422299705
-90.0,-25.0,113.92314566301891,36.73703504173241,853.3265943689177,-234.83779425424933,-264.3935954114054,29.868429332851782
-90.0,-24.0,113.86661015833349,34.19060101952765,853.1087942362332,-227.89046417013097,-262.65667277497244,28.358336226446603
-90.0,-23.0,113.83983152263087,31.730530368721357,853.0376615439488,-220.84302964542064,-261.1342234458254,26.86121630660344
